Country,renewable_share_pct,co2_intensity_kg_per_usd,total_co2_mt
Afghanistan,11.853891547196682,1.4874342226219464,142.24116664
Africa,2.642093424773967,69.64520561544069,34675.122025636
Albania,28.806018049643143,0.15389195886405757,125.98698961
Algeria,0.2039196127400743,1.9674469189808008,3394.363068471
American Samoa,0.05748220515620385,0.00393559851077535,15.259488713
Angola,6.198060845887349,1.3415650232743124,406.448968956
Antigua and Barbuda,0.12085327096871445,0.005690539179106911,20.704438658
Argentina,4.670729407353175,2.182519217397619,5452.985352514
Armenia,4.21315080866032,0.19317272055312787,242.649143378
Aruba,1.2905182355820084,0.0062124777788294646,34.167400982000004
Asia & Oceania,2.7531411555073375,276.02854263349116,415403.831021361
Australia,2.0617995051380626,1.521122868068185,12076.143931483
Australia and New Zealand,3.806913830068641,1.7752693350263247,13261.697517669
Austria,18.167543566589327,0.46069096206761084,2161.450538722
Azerbaijan,1.0565164358709245,0.5283571922857264,1167.707585766
Bahrain,0.008284628152152577,0.054026958433209454,970.231020288
Bangladesh,0.8587513607833456,8.63273293511325,1829.738815609
Barbados,0.27966294893395405,0.018356175957881707,51.40569698
Belarus,1.6768834752088078,0.5489159200988771,1908.421070053
Belgium,2.7639759473589134,0.5437154410916336,4423.38985146
Belize,16.79548471876727,0.020228519043470172,20.222607697
Benin,5.172121507653488,0.6276541986144926,117.634044733
Bermuda,0.49236539170071936,0.0042331970057516086,20.289424354
Bhutan,43.2475666616969,0.02822639029532395,15.280573465
Bolivia,4.518518014214473,0.5793084588331175,411.515006798
Bosnia and Herzegovina,3.287777455037164,0.2902542202185391,459.083268686
Botswana,8.079972318269206,0.13803057215796408,145.241822349
Brazil,21.04456472655125,9.161851601534117,50608.536824472
British Virgin Islands,0.14367089288510007,0.0017417502393546529,4.017776291
Brunei,0.0017309192405717498,0.020827227036765716,237.392014007
Bulgaria,0.5432563872069756,0.4586629351684644,1614.425835112
Burkina Faso,4.32734491090485,1.0217098257954216,72.214098191
Burma,6.477190143499759,2.866076100738449,516.811328856
Burundi,12.23018603968934,0.5901111809328051,14.346457106
Cabo Verde,1.3452308659729195,0.026855002388954247,14.861077356000001
Cambodia,6.022548446993398,0.9575552385425742,187.012445838
Cameroon,16.872838207245223,1.0264441946263045,160.405371767
Canada,11.184172732632433,1.616932364039615,73369.544552164
Cayman Islands,0.12763142988639686,0.003199263955083609,16.489867997
Central & South America,12.775649748522794,24.67628300590621,36037.430650218
Central African Republic,10.151046767466358,0.3311268073987427,10.59214003
Chad,0.19689003245694353,0.7304303671353808,21.593805978
Chile,11.151019685088166,1.0177811086211954,2156.8889643009998
China,2.6001405083165396,108.9203454738758,940175.93931404
Colombia,10.784186062860798,2.2409514554556313,2019.122218456
Comoros,0.536835371809638,0.04519343858587879,5.365732432
Congo-Brazzaville,10.023327789574841,0.23861369710790392,76.486393405
Congo-Kinshasa,39.76452659606615,2.7382708069133734,98.659021591
Costa Rica,23.29877862082466,0.22573381487219932,207.059761547
Croatia,11.982450990702212,0.24664808322382117,598.075328194
Cuba,2.0357862363801904,0.8062216975926633,943.267508139
Cyprus,0.7987444902675421,0.05552580275930512,253.96987156400002
Czechia,-0.7068970838492611,0.6739512546293022,3420.669250308
Denmark,9.89430156430384,0.35223016414049235,1684.959620157
Djibouti,4.367425565347364,0.07648596536014779,45.394769524
Dominica,4.816212006392475,0.004315078416175739,4.077793943
