Country,Code,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,--,--,--,--,0.1,0.1,0.4,0.6,0.6,0.6,0.7,0.7,0.8,0.9,0.6,0.9,0.9,0.9,1,1,1,1,1,1,1.1,1.024105112,1.1,1,1.1,0.991091715,1.259022487,1.19798201,1.213408516,1.221647,1.201636,1.251577,1.20493081,1.114,1.089,1.155,1.181,1.163000332
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.325964518,1.509627735,1.65960468,2.05960468,2.065436114,2.093515917,2.311010238,3.646724197,6.056769431,6.024286809,5.92606127,2.693772146,1.704078481,1.60213467,1.599940882,1.301904405,1.357036213,1.255092401,1.255092401,1.25314859,1.15314859,0.848627166,0.838908091,0.707268691,0.705324879,0.80338105,0.707268691,0.886020545,1.1258796,5.835371984,7.350372553,9.444349994,8.824399339,6.946117844,5.550387121,6.493659084,5.823184544,5.639362838,6.818422849,9.429672199,9.366235986,9.936315561,9.302426307,7.756799675
Africa,AFRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.613236808,474.631535071,516.511509601,545.652761355,574.744319704,590.401528824,606.464526258,632.087357894,647.129697053,660.032934643,685.075364963,689.970137986,697.034125036,708.223800366,719.140367135,748.709839452,770.574713414,785.525411461,805.113124319,805.514136741,824.869628648,845.014824545,875.70814108,915.266299806,936.629878328,988.156113107,1011.244271971,1003.764718859,1020.898065493,1055.361389851,1098.700847276,1139.118393747,1178.514626293,1233.812944037,1265.00457718,1280.411927213,1287.023321218,1319.541040079,1327.440727171,1355.489146922,1267.347244063,1307.268108067,1353.11446623,1370.540303579
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.390313036,3.388842904,3.5555033,3.86660396,3.36660396,4.32215429,4.57770462,4.68880528,4.89990594,4.73325495,4.855407096,5.0110066,5.218203145,5.098585546,4.919904059,5.298585546,5.098585546,5.718203145,4.837820744,5.698585546,5.418203145,7.339732749,7.81629114,8.275143938,8.571319928,8.475143938,9.433996735,10.42826072,10.833996735,12.353614334,16.434704769,17.299774448,18.379759527,20.113909041,21.743562538,22.910923406,21.782970703,19.150669135,18.23030484,19.304659183,14.502503962,16.916838064,19.317920047,19.659878958
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.618526399,9.533068754,9.594264089,9.981384922,10.126808525,10.0889756,10.154939541,9.828091766,9.947020892,9.31315936,6.830770197,4.756772992,3.901890471,2.890835751,2.328549426,2.463787517,2.019993742,1.958145439,2.331577807,2.926686734,3.264883293,3.579187341,3.750333192,4.25058022,4.345900091,4.637862111,4.612172485,3.173024237,4.525973878,3.02339894,3.673558222,3.756730087,3.393630544,3.857129766,4.043419507,3.913785734,4.111770605,4.525289645,4.151224673,3.989091603,3.309498526,4.002473171,4.294648618,3.392413045
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.44471465,27.44374422,26.05508003,31.11016006,35.38762953,47.94247441,57.94219223,67.2191914,73.49675493,78.99633166,76.830083718,93.8847607,100.10639766,95.304221242,93.511556542,100.632091902,103.261781392,108.891037215,113.617883481,115.755704225,128.139817881,139.437364627,144.160976239,148.688883333,157.524068306,162.891942189,172.496456371,188.565088519,216.12571206,211.333671999,219.158481236,243.378200471,242.167288046,253.957736573,250.39719764,283.0588782,286.340087176,264.409882713,248.115393242,262.800816571,253.613071669,261.968081699,262.458913501,271.702662156
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.372976238,92.64771501,96.049056906,96.131657636,99.687649422,94.42292848,107.375373965,108.700923564,111.282329695,111.036419692,102.656349989,106.568695264,107.860189032,117.575969,113.900465864,116.847839439,125.174043798,127.860498099,135.811920453,141.359991597,139.349744512,129.265275277,121.217073217,135.441963342,143.496128597,154.634146635,158.822856892,161.287206943,173.270825529,170.063054703,189.185364717,192.990201706,198.039755827,199.832026874,200.468661204,217.33948116,216.527808628,197.817098913,192.505627718,198.891901652,171.998795812,197.142513824,199.640597017,198.14127928
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,11.100206809,6.866926082,6.02829579,7.089674037,8.071509648,7.479557823,7.864828592,7.743406613,8.372155215,8.551151861,8.242803401,8.796330443,9.013094019,10.236721093,10.237780075,11.155403577,11.092445857,10.041619888,4.813019398,5.238929565,5.991110422,5.808716504,5.983706514,5.026330456,5.388280856,5.764256766,5.976457104,6.202729045,6.63348012,7.102882828,7.591282788,7.144050189
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.425070708,0.499607404,0.696422442,0.439048931,0.500976192,0.469328168,0.484467786,0.503031549,0.488869517,0.548365307,0.577441663,0.577441663,0.594548215,0.578368968,0.562878486,0.547388003,0.548879294,0.562878486,0.562878486,0.562878562,0.550420816,0.550420816,0.559929816,0.559929816,0.559929816,0.59155027,0.601936254,0.601936254,0.603585394,0.601936254,0.601936254,0.35542766,0.356401475,0.35542766,0.35542766,0.35542766,0.355427692,0.35542766,0.35542766,0.356,0.34,0.386,0.39,0.389
Asia & Oceania,ASOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3582.303038372,3603.471166065,3640.488987586,3814.862040218,4236.411262916,4381.205167238,4527.277413032,4754.404572915,5106.272292309,5236.755685368,5394.956517558,5550.292295183,5750.245460265,6071.217888573,6448.121283235,6852.497515455,7145.182029914,7170.068115766,7103.152537815,7422.812390067,7780.624220501,7956.749307373,8346.240723354,9085.18870679,10202.302897134,11090.033284963,11861.458113834,12328.153412699,12928.280134243,13742.647771689,14875.537441882,15893.034433619,16730.110338408,17056.133250905,17160.10464222,17123.959998652,17139.318615399,17426.971045761,17875.067172031,18361.283817383,17975.518045416,18512.041063115,18966.000124581,20078.526425578
Antarctica,ATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14064,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.014352207,0.014382064,0.01434261,0.014342885,0.014228501,0.01422098,0.013782287,0.013782287,0.014,0.012,0.012,0.012,0.015425979
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40738,0.4,0.5,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.690569119,0.7,0.7,0.7,0.690076094,0.707217069,0.705863443,0.719317413,0.751413,0.762758,0.7159054,0.7348894,0.7296106,0.7042989,0.7332989,0.7346106,0.72461072
Australia,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.314465808,223.053851909,230.129714542,219.685227402,227.994782291,240.581272409,241.444382441,259.333454804,262.533088409,280.535253739,267.594469481,266.285872817,272.517534144,276.818637812,281.423610244,289.400019886,305.245390588,313.354868676,329.104173031,337.320509257,339.399971758,343.226802679,353.274214761,351.729505691,364.075125909,369.934069523,375.296664484,385.301034255,384.545755499,396.125168336,391.728752135,389.552897498,393.234942603,385.184224937,376.452936341,382.012325394,393.892746571,396.044355233,402.443251827,408.666263302,376.429073104,383.80871186,400.066771754,394.653280093
Austria,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.262930269,51.597466644,48.869007846,48.588831057,52.169414239,52.983349101,50.19197655,51.223092245,49.57806577,50.35173659,55.515238283,59.73290631,54.039199522,54.589309388,54.753857956,58.499163014,63.147108329,62.225040933,62.563329586,62.034951581,60.998924689,65.588587856,65.910405064,71.553487573,72.676656097,76.76717589,73.936134982,70.962337536,70.444200416,64.05651925,69.590458553,66.2611232,64.115668413,64.436759601,61.136785464,63.186494439,63.750893511,66.333644577,63.769949626,65.360857771,57.76380555,60.720900543,58.069486385,56.959176834
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,58.097629015,50.589072783,46.442846564,45.670271009,39.249112926,37.977024836,34.976128051,35.781064726,31.114681472,31.18865281,34.481329673,33.849421767,36.380106573,37.238314371,40.058521116,31.148464861,34.526307355,29.161805959,30.978079619,30.139640857,33.216129133,31.49000261,32.525526008,34.220003413,33.768208834,33.505086202,33.285637886,35.15163246,33.838591389,37.972304306,40.794361703,38.891625479
Burundi,BDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0981,0.1,0.09812,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.209395776,0.4,0.2,0.2,0.264970514,0.233810047,0.283664742,0.239258433,0.390188,0.4312382,0.52089837,0.67983302,0.678,0.741,0.755,0.780824581,0.838375423
Belgium,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.878279907,123.414264898,116.552379275,106.532566622,114.550917084,112.47913441,114.92728584,116.881283887,120.584912562,122.635077235,125.741251449,129.99841352,128.047719598,125.340619517,131.457627422,131.832384299,138.620165006,136.571975718,142.175310258,136.008744994,139.251735863,138.815114588,136.185802445,142.242766346,142.592857547,139.515749418,138.702390759,139.314296133,143.396187205,127.117896789,136.832183731,124.519051139,120.683825615,122.651745398,113.901563364,119.893288023,121.327901986,124.0826927,132.641063321,128.755495182,113.95359197,122.462234277,116.672758992,112.083446888
Benin,BEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42067,0.4,0.3,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.6,0.7,0.8,0.8,0.9,1,1,1.1,1.2,1.3,1.7,1.7,1.7,2.1,2.4,2.5,3,3.303225783,3.403617675,4.500232667,5.100114705,4.722990331,4.372044823,4.538610429,4.840767399,5.375044116,6.500200025,6.980116384,7.736424191,7.152376549,7.551655536,5.569606063,5.538606739,5.948411318
Burkina Faso,BFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41825,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.1,1.2,1.347805637,1.4,1.7,1.7,2.120689116,2.453215462,3.050219119,2.860502377,3.711134,3.423904314,4.006278646,4.391342618,4.537,4.451,5.121,5.097,5.243006902
