Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,--,--,--,--,--,--,63.621,63.408,63.203,63.39,64.433,66.543,68.874,71.072,73.458,75.918,78.482,81.106,83.777,86.472,88.761,90.305,91.379,92.31,93.213,94.23,95.392,96.587,97.805,99.025,100.114,100.981,101.763,102.558,103.373,104.184,104.977,105.731,106.432,107.076,107.4,107.558,107.782,107.939,108.066
Afghanistan,AFG,13169.31,11937.58,10991.38,10917.98,11190.22,11426.85,11420.07,11387.82,11523.3,11874.09,12045.66,12238.88,13278.97,14943.17,16250.79,17065.84,17763.27,18452.09,19160,19887.79,20130.33,20284.31,21378.12,22733.05,23560.65,24404.57,25424.09,25909.85,26482.62,27466.1,28284.09,29347.71,30560.03,31622.7,32792.52,33831.77,34700.61,35688.93,36743.04,37856.12,39068.98,40000.41,40578.84,41454.76,42647.49
Africa,AFRC,478538.4401,492987.088,508203.973,523364.701,538672.212,554605.47401,570812.113,587394.843,604285.148,621380.78,638761.64101,655979.894,673349.454,691354.593,709107.715,727130.467,745758.751,764497.861,783964.988,803892.65,824115.808,844927.869,866341.859,888341.898,911039.28001,934432.322,958412.525,983103.819,1008665.134,1034931.859,1061848.105,1099505.16999,1128178.01998,1158090.902,1188506.509,1219338.178,1250447.448,1282118.694,1314608.841,1347186.708,1379982.053,1412894.743,1446004.405,1479869.43,1514218.641
Angola,AGO,8133.872,8435.607,8751.648,9082.983,9425.917,9779.12,10139.45,10497.86,10861.29,11238.56,11626.36,12023.53,12423.71,12827.13,13249.76,13699.78,14170.97,14660.41,15159.37,15667.24,16194.87,16747.21,17327.7,17943.71,18600.42,19291.16,20015.28,20778.56,21578.65,22414.77,23294.82,24218.35,25177.39,26165.62,27160.77,28157.8,29183.07,30234.84,31297.15,32375.63,33451.13,34532.43,35635.03,36749.91,37885.85
Albania,ALB,2735.416,2790.413,2846.907,2905.13,2964.958,3026.242,3087.652,3148.838,3212.919,3260.374,3277.966,3282.602,3282.501,3277.825,3269.41,3258.567,3245.678,3229.66,3210.133,3188.595,3166.148,3147.943,3134.092,3118.088,3098.657,3076.159,3050.809,3022.887,2992.93,2961.479,2928.722,2911.504,2910.004,2907.573,2903.749,2898.632,2897.867,2898.242,2894.231,2885.01,2871.954,2849.635,2827.608,2811.655,2791.765
United Arab Emirates,ARE,1015.7,1099.855,1166.37,1235.305,1305.996,1377.911,1467.383,1574.244,1681.788,1789.851,1898.22,2006.626,2114.73,2222.093,2328.188,2434.662,2597.564,2817.41,3040.421,3266.009,3493.575,3723.59,3956.826,4192.457,4428.967,4664.79,5009.1,5624.635,6302.664,6707.058,6938.363,7199.423,7497.118,7831.847,8236.874,8674.633,9030.873,9234.327,9346.87,9377.847,9448.524,9789.048,10242.09,10642.08,11027.13
Argentina,ARG,28011.6,28463.96,28924.26,29391.33,29863.09,30336.44,30811.98,31291.76,31780.53,32270.95,32755.9,33230.3,33693.52,34152.71,34613.49,35070.02,35513.79,35947.79,36372.86,36794.68,37213.98,37624.82,38029.35,38424.28,38815.92,39216.79,39622.11,40016.76,40424.15,40854.83,41288.7,41730.66,42161.72,42582.46,43024.07,43477.01,43900.31,44288.89,44654.88,44973.46,45191.96,45312.28,45407.91,45538.4,45696.16
Armenia,ARM,--,--,--,--,--,--,--,--,--,--,--,--,3571.861,3453.332,3364.61,3307.581,3278.735,3246.289,3208.401,3167.286,3125.628,3084.349,3055.63,3038.968,3022.541,3006.351,2990.377,2974.819,2959.99,2945.517,2931.078,2923.271,2922.528,2922.518,2922.422,2921.177,2918.793,2914.963,2909.965,2903.972,2890.892,2870.349,2880.874,2943.393,2973.84
American Samoa,ASM,32.646,33.701,34.968,36.412,37.946,39.519,41.119,42.74,44.343,45.894,47.347,48.685,49.896,51.02,52.095,53.161,54.211,55.221,56.171,57.053,57.821,58.494,59.08,59.504,59.681,59.562,59.107,58.365,57.492,56.683,56.079,55.759,55.667,55.713,55.791,55.812,55.741,55.62,55.465,55.312,NA,NA,NA,NA,NA
Asia & Oceania,ASOC,2460254.394,2506943.346,2555676.484,2605307.651,2654811.619,2705654.455,2758186.108,2812582.231,2867480.945,2922473.947,2978606.901,3032310.07,3083197.514,3133879.019,3183261.825,3231905.576,3280505.842,3328621.476,3376171.862,3422772.284,3468856.365,3514617.001,3559039.564,3602256.205,3644825.285,3686996.346,3729261.978,3771423.148,3813528.863,3856483.809,3899739.819,3942425.282,3985303.87,4027298.253,4067521.338,4105812.73,4143493.12,4181298.499,4216745.709,4249589.291,4279236.903,4303276.587,4325020.756,4347551.664,4369590.985
